,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
0,1EtuAaqfgNkjR7bsWqvBtg,First Step,Hans Zimmer,['Hans Zimmer'],0.163,0.084,9,-19.007,0,0.433,0.95,0.102,0.0345,71.028,107767,4,30,5,281
1,5fdp9rXfEixCGLM1Og4EN1,Gnossienne No. 1,Erik Satie,"['Erik Satie', 'Alena Cherny']",0.376,0.00579,5,-31.615,0,0.996,0.944,0.0882,0.0369,71.827,296480,4,88,11,405
2,0pCHzhuRt6kOU3FUEG3HnC,"Danse Macabre, Op.40, R.171",Camille Saint-Saëns,"['Camille Saint-Saëns', 'Orchestre Symphonique de Montréal', 'Andrew Wan', 'Kent Nagano']",0.371,0.131,2,-23.899,1,0.898,0.925,0.0847,0.0655,105.328,442693,4,184,24,1608
3,46tPGzCXCI2oKsemztDA9u,Parce Mihi Domine,Jan Garbarek,"['Jan Garbarek', 'Cristobal de Morales', 'The Hilliard Ensemble']",0.193,0.0656,10,-19.239,1,0.995,0.829,0.119,0.0359,128.975,402493,3,245,23,1442
4,2C6dRX5fURAnAHuMswTOuX,Scicilienne Op. 78,Gabriel Fauré,"['Gabriel Fauré', 'Coenraad Bloemendal', 'Erica Goodman']",0.256,0.0501,3,-27.143,1,0.967,0.882,0.135,0.0762,77.415,218187,3,91,10,661
5,4JvclO8lNugobD1afavcYS,Nantes,Beirut,['Beirut'],0.437,0.533,1,-9.552,1,0.782,0.0142,0.134,0.638,131.155,230200,4,118,7,863
6,3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,['Twenty One Pilots'],0.734,0.637,4,-5.677,0,0.0462,2.29e-05,0.0602,0.648,169.977,202333,4,143,11,827
7,3ClBKQkKoaUQ6UOhe2xlJK,Good News,Mac Miller,['Mac Miller'],0.794,0.32,1,-12.92,0,0.853,0.134,0.112,0.241,174.088,342040,4,241,19,1177
8,4jXl6VtkFFKIt3ycUQc5LT,Circles,Mac Miller,['Mac Miller'],0.61,0.0316,9,-15.186,1,0.896,0.00461,0.108,0.37,151.964,170360,4,105,10,442
9,3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,['Lord Huron'],0.544,0.369,2,-9.514,1,0.969,0.279,0.639,0.102,87.01,208212,3,96,6,767
10,4p4hyqRFdoiw4EMbEsqBdA,Get Free,Major Lazer,"['Major Lazer', 'Amber of Dirty Projectors']",0.525,0.65,11,-6.961,0,0.0852,0.133,0.133,0.787,175.913,289973,4,211,10,1211
11,23OXdR7YuUBVWh5hSnYJau,Chlorine,Twenty One Pilots,['Twenty One Pilots'],0.609,0.674,10,-7.388,0,0.0735,0.06,0.345,0.315,90.009,324467,4,120,12,1146
12,0EorOusx1bsPQD9gB0Mmgq,Davy Jones's Theme (From ''Pirates of the Caribbean''),Grissini Project,['Grissini Project'],0.135,0.329,2,-13.858,0,0.886,0.974,0.239,0.0383,87.615,219832,4,80,9,757
13,6lQcGI1imCpB0bVNqIYyAj,Luxury,Jon Bellion,"['Jon Bellion', 'Audra Mae']",0.67,0.393,9,-9.158,1,0.0159,0.000307,0.104,0.193,77.461,243459,4,78,10,873
14,0hLFfpr7uTHlc2vus572eA,Atlas,Luke Christopher,['Luke Christopher'],0.504,0.594,11,-5.543,1,0.516,1.4e-06,0.132,0.244,144.955,250831,4,148,11,938
15,6JGCC9qfdZbCSPhOI29ypv,Hand Of God - Outro,Jon Bellion,['Jon Bellion'],0.538,0.538,0,-6.601,0,0.302,0.0,0.121,0.389,153.958,337551,4,216,13,1176
16,4kTLpAbhuEGHAAdDjOIWaa,Pursuit Of Happiness (Nightmare),Kid Cudi,"['Kid Cudi', 'MGMT', 'Ratatat']",0.627,0.589,0,-9.056,1,0.497,7.05e-05,0.324,0.247,115.284,295293,4,142,13,1056
17,0dRdb2IIRJil2IW0Q9rYZC,I Miss You,blink-182,['blink-182'],0.423,0.714,11,-8.295,1,0.00113,6.28e-06,0.0855,0.593,110.017,227250,4,94,10,959
18,3dYD57lRAUcMHufyqn9GcI,Take Me To Church,Hozier,['Hozier'],0.566,0.664,4,-5.303,0,0.634,0.0,0.116,0.437,128.945,241688,4,126,10,725
19,1FGvbfMafLBdymgrtGAZYh,Stand By Me,Florence + The Machine,['Florence + The Machine'],0.603,0.352,9,-6.823,1,0.824,0.000272,0.194,0.256,108.041,245780,4,109,14,753
20,5BP0oaQ1VhuaznT77CBXQp,Where Is My Mind?,Pixies,['Pixies'],0.508,0.597,4,-8.063,1,0.0177,0.000856,0.091,0.185,81.982,231667,4,78,10,743
21,3VAeTjREoKPY1exOXR4oBm,Go Fuck Yourself,Two Feet,['Two Feet'],0.765,0.327,6,-8.029,1,0.571,0.0479,0.0787,0.292,74.931,129600,4,40,6,413
22,2zbq8QdgWACnYdKTu2xIE4,Billie Jean,EDEN,['EDEN'],0.314,0.61,3,-5.394,0,0.0812,0.0,0.31,0.455,89.878,236069,4,93,11,906
23,6wb1K3y7rRyQdoJlkrMgik,On My Way Out,Getter,"['Getter', 'Joji']",0.517,0.685,4,-7.728,1,0.388,0.0133,0.0713,0.231,95.018,330947,4,128,13,1294
24,1AvAl5fj5mhoLHVo0to1xr,Mia,Gorki,['Gorki'],0.697,0.298,0,-16.929,1,0.0411,0.000123,0.103,0.233,113.571,332200,4,154,16,1064
25,63nyNMTkDYqiGbFhqmzTVj,Ooit Was Ik Een Soldaat,Gorki,['Gorki'],0.755,0.437,7,-12.443,1,0.453,5.73e-05,0.432,0.521,123.523,251680,4,128,5,904
26,189ho2EWK86V7I7X0Ecwma,Heathens,Boston Manor,['Boston Manor'],0.35,0.924,3,-5.776,0,0.185,2.12e-05,0.0986,0.185,179.907,226467,4,165,11,710
27,3nsE1k6l1BRI1nVz6NOint,slow dancing in the dark,sora.wav,['sora.wav'],0.428,0.0153,2,-16.534,1,0.945,0.0,0.301,0.33,79.973,204042,4,85,11,369
28,6p8eEdiZLKJH8tcjGZuNTK,Run,Joji,['Joji'],0.447,0.72,7,-3.954,1,0.0416,0.000297,0.614,0.362,157.892,195000,3,142,12,611
29,3IbkWFHKCQp1Y7oLjeQgGv,Sinds 1 Dag Of 2 (32 Jaar),Doe Maar,['Doe Maar'],0.884,0.599,9,-10.892,1,0.283,0.00396,0.137,0.963,113.743,200891,4,92,10,762
30,7BnOMpCYRcTR2nkMYsfwlz,grandiose,Pomme,['Pomme'],0.634,0.428,11,-12.589,1,0.906,0.183,0.106,0.186,117.958,195280,4,92,9,641
31,2EDI0r2F9Qhvi7XiEoctHH,Trees,Twenty One Pilots,['Twenty One Pilots'],0.584,0.833,6,-5.9,1,0.00359,3.44e-05,0.169,0.324,140.013,267387,4,149,12,912
32,7d23MhPFE9eB3U8DPRirnL,Disparate Youth,Santigold,['Santigold'],0.642,0.931,1,-4.142,1,0.0131,0.825,0.215,0.548,152.005,284400,4,178,12,1212
33,1snNAXmmPXCn0dkF9DaPWw,You & Me - Flume Remix,Disclosure,"['Disclosure', 'Eliza Doolittle', 'Flume']",0.593,0.392,10,-6.872,0,0.382,0.000114,0.131,0.25,75.065,282813,4,85,10,859
34,6Hpy3POlu3hqza5bN95Eo9,La Mer Peu Profonde,The Ballroom Thieves,['The Ballroom Thieves'],0.532,0.151,5,-17.531,1,0.812,0.823,0.11,0.433,134.064,60387,4,31,3,231
35,4G9addS7Yq5ihZBQLXG2Mj,I Don't Know My Name,Grace VanderWaal,['Grace VanderWaal'],0.548,0.221,0,-8.383,1,0.775,0.0,0.109,0.457,140.649,148840,4,68,6,450
36,1roCmBlcpV7LzsmB7pmCyt,Let Me Down Slowly (feat. Alessia Cara),Alec Benjamin,"['Alec Benjamin', 'Alessia Cara']",0.655,0.569,1,-5.018,0,0.716,7.4e-06,0.135,0.44,150.267,169175,4,104,8,587
37,51v7yO07BdGgP6hv0OaDe2,Romantic Flight,John Powell,['John Powell'],0.221,0.32,6,-11.829,1,0.47,0.864,0.114,0.234,103.511,116480,3,62,8,361
38,3o1YeO9d1d893Olv674D9X,Where Is My Mind,Bandit,['Bandit'],0.354,0.19,4,-10.269,1,0.968,0.000784,0.127,0.0977,122.995,199000,4,100,8,466
39,6U3qNRYONFAJTaDiQs10Jk,Golden,Fuchy,['Fuchy'],0.389,0.417,7,-11.861,0,0.709,0.909,0.125,0.0551,135.038,194338,3,123,10,588
40,1MdbDBwEEecnlLiyWChJFh,You & Me,MEUTE,['MEUTE'],0.661,0.548,10,-4.053,0,0.652,0.265,0.0913,0.0954,75.068,306423,4,93,11,816
41,19fwbNV3zv7oY2rA3FlN2a,La valse d'Amélie - Version orchestre [Live],Yann Tiersen,['Yann Tiersen'],0.245,0.271,9,-10.18,0,0.609,0.0326,0.19,0.271,93.578,125133,3,65,4,422
42,4jAfQwuMmqirQBcg47wgpR,La Valse d'Amélie - Version orchestre,Yann Tiersen,['Yann Tiersen'],0.195,0.335,9,-8.681,0,0.852,0.131,0.117,0.252,63.152,120333,4,38,5,433
43,01Q55Xv60Gr56abx5ad5vK,La Valse d'Amélie - Version originale,Yann Tiersen,['Yann Tiersen'],0.433,0.564,9,-8.917,0,0.713,0.275,0.117,0.855,192.073,135907,3,136,7,525
44,4Stznl3BCCggfDmqnoIv6y,The Drowned Girl,Yann Tiersen,['Yann Tiersen'],0.525,0.209,7,-9.403,1,0.828,0.927,0.0712,0.944,138.702,123000,3,89,4,528
45,5juBKIr7vbfAUgFpa34DuO,Habibi,Tamino,['Tamino'],0.318,0.3,2,-9.227,0,0.687,0.113,0.111,0.0391,121.872,307267,4,150,13,795
46,01Y7ntOQnQtfcBYQuAR4Jf,Cigar,Tamino,['Tamino'],0.589,0.382,6,-9.56,0,0.567,0.000203,0.0884,0.209,77.996,247133,4,79,10,787
47,62DFvt3IhKq2i8wyigqeFO,Indigo Night,Tamino,['Tamino'],0.538,0.335,3,-10.657,0,0.625,0.117,0.106,0.15,111.799,255493,4,114,11,701
48,4HhRO44cSeD5ybe7gf86pA,Bitterzoet,Eefje de Visser,['Eefje de Visser'],0.589,0.434,2,-9.791,0,0.54,0.00204,0.102,0.151,133.028,238747,4,129,12,860
49,2d0XLqFoNrRWD5gQpewEn1,I Follow Rivers - Bonus Track - Live @ Giel VARA/3FM,Triggerfinger,['Triggerfinger'],0.674,0.408,7,-9.033,0,0.148,1.48e-05,0.0261,0.708,109.992,213552,4,99,9,807
50,4E5GTgLzCtiTzUmcAuKQiL,In Fantasia,Kishi Bashi,['Kishi Bashi'],0.239,0.378,2,-12.266,0,0.477,0.064,0.123,0.16,154.062,429453,4,274,22,1505
51,2LcQR0Jt3AFZwWpi4jV6d1,Little Grumbler,The Chalkheads,['The Chalkheads'],0.517,0.729,2,-8.438,1,9.1e-05,0.175,0.111,0.26,97.998,308601,4,124,13,1079
52,1bmEIZhodItI8Rl51GqeAP,Between Worlds,Roger Subirana,['Roger Subirana'],0.324,0.256,1,-13.966,1,0.766,0.908,0.0758,0.134,149.998,309624,4,181,13,645
53,551qy5vUgrUfEUc4dCNfht,Where Did You Sleep Last Night,Nirvana,['Nirvana'],0.573,0.59,3,-8.43,1,0.667,0.000397,0.691,0.364,108.789,306067,3,182,10,806
54,1z8TGCiKvZc6XYunGYVAbi,The Build Up,Destiny Potato,['Destiny Potato'],0.694,0.465,8,-12.994,1,0.614,0.939,0.0777,0.921,145.957,131487,4,79,8,479
55,4NvDs1kRKYdR5jacOH6aCC,Lines of the Broken,DROELOE,"['DROELOE', 'San Holo', 'CUT_']",0.592,0.569,8,-7.071,1,0.209,0.00402,0.221,0.3,150.083,220800,4,137,14,848
56,01uqI4H13Gsd8Lyl1EYd8H,Same Love - feat. Mary Lambert,Macklemore & Ryan Lewis,"['Macklemore & Ryan Lewis', 'Mary Lambert']",0.688,0.473,8,-9.059,1,0.716,4.46e-05,0.104,0.299,84.958,318525,4,112,15,1229
57,6HefMjw11JYeXEBWkWdOgC,Ocean,Görkem Han,['Görkem Han'],0.541,0.646,11,-9.875,1,0.0268,0.767,0.0923,0.186,80.048,363076,4,120,12,1439
58,33m0aVQvsfvanuwG6rByrd,Sommarfågel - Bassnectar Remix,Wintergatan,"['Wintergatan', 'Bassnectar']",0.327,0.844,0,-5.269,0,0.00396,0.758,0.151,0.0365,180.053,136667,3,134,7,532
59,6PMXCAKSAH7GAZkmUwQ5hB,In Time (feat. Belle Doron),DROELOE,"['DROELOE', 'Belle Doron']",0.624,0.638,7,-8.075,0,0.246,0.2,0.0939,0.238,160.001,223500,4,148,9,910
60,18pIsa1XH5Eap4SBcSH4Xd,Selenium Forest,Plini,['Plini'],0.471,0.717,3,-7.731,0,0.0653,0.897,0.284,0.356,149.981,365641,1,229,14,1110
61,2tvqozr6LOAtyby9oaZXZf,Dilate,DROELOE,['DROELOE'],0.668,0.879,1,-6.493,1,0.0649,0.451,0.666,0.359,149.933,211200,4,121,7,900
62,1eadPrzB2P0ikQcqhKSAtv,Zombie,Bad Wolves,['Bad Wolves'],0.448,0.826,2,-3.244,0,0.00756,0.0,0.117,0.19,77.093,254805,4,80,8,635
63,69cpFf66lyFH51tBis0pcB,Sarcasm,Get Scared,['Get Scared'],0.391,0.932,7,-4.775,0,0.00324,3.07e-06,0.32,0.594,180.106,198080,4,148,8,717
64,26D1PRJjD9Jj1JGRk88KVc,Lithium,Nirvana,['Nirvana'],0.678,0.656,7,-6.41,1,0.00174,0.0,0.0631,0.485,123.207,257053,4,129,10,811
65,2IZZqH4K02UIYg5EohpNHF,Zombie,The Cranberries,['The Cranberries'],0.307,0.635,7,-8.957,1,0.0154,0.00483,0.366,0.304,166.973,306427,4,215,15,902
66,1n8NKQRg8LVHy7oUhUgbFF,Hedwig's Theme,John Williams,['John Williams'],0.156,0.162,2,-17.101,0,0.897,0.691,0.111,0.077,73.407,309093,4,89,16,914
